# theta[deg]	neutral_n1	plasma_n1	neutral_n2	plasma_n2	neutral_n3	plasma_n3	neutral_n4	plasma_n4
9.70000000e+01	2.98747277e-01	1.86395589e-02	4.87433862e-01	1.86410669e-02	7.79040404e-01	6.13700977e-02	4.57360689e-01	5.18076990e-01
9.71000000e+01	2.98474946e-01	1.88746448e-02	4.86772487e-01	1.88761185e-02	7.77777778e-01	6.11305231e-02	4.60172703e-01	5.15699411e-01
9.72000000e+01	2.98202614e-01	1.91123182e-02	4.86111111e-01	1.91137583e-02	7.76515152e-01	6.08979832e-02	4.63005069e-01	5.13328321e-01
9.73000000e+01	2.97930283e-01	1.93526021e-02	4.85449735e-01	1.93540094e-02	7.75252525e-01	6.06724700e-02	4.65857885e-01	5.10963825e-01
9.74000000e+01	2.97657952e-01	1.95955198e-02	4.84788360e-01	1.95968950e-02	7.73989899e-01	6.04539758e-02	4.68731249e-01	5.08606028e-01
9.75000000e+01	2.97385621e-01	1.98410947e-02	4.84126984e-01	1.98424386e-02	7.72727273e-01	6.02424934e-02	4.71625260e-01	5.06255035e-01
9.76000000e+01	2.97113290e-01	2.00893505e-02	4.83465608e-01	2.00906636e-02	7.71464646e-01	6.00380154e-02	4.74540017e-01	5.03910950e-01
9.77000000e+01	2.96840959e-01	2.03403106e-02	4.82804233e-01	2.03415937e-02	7.70202020e-01	5.98405348e-02	4.77475618e-01	5.01573874e-01
9.78000000e+01	2.96568627e-01	2.05939990e-02	4.82142857e-01	2.05952527e-02	7.68939394e-01	5.96500449e-02	4.80432163e-01	4.99243912e-01
9.79000000e+01	2.96296296e-01	2.08504396e-02	4.81481481e-01	2.08516646e-02	7.67676768e-01	5.94665392e-02	4.83409751e-01	4.96921166e-01
9.80000000e+01	2.96023965e-01	2.11096565e-02	4.80820106e-01	2.11108533e-02	7.66414141e-01	5.92900113e-02	4.86408481e-01	4.94605736e-01
9.81000000e+01	2.95751634e-01	2.13716738e-02	4.80158730e-01	2.13728432e-02	7.65151515e-01	5.91204551e-02	4.89428453e-01	4.92297725e-01
9.82000000e+01	2.95479303e-01	2.16365159e-02	4.79497354e-01	2.16376585e-02	7.63888889e-01	5.89578649e-02	4.92469769e-01	4.89997232e-01
9.83000000e+01	2.95206972e-01	2.19042074e-02	4.78835979e-01	2.19053236e-02	7.62626263e-01	5.88022349e-02	4.95532526e-01	4.87704357e-01
9.84000000e+01	2.94934641e-01	2.21747727e-02	4.78174603e-01	2.21758633e-02	7.61363636e-01	5.86535598e-02	4.98616827e-01	4.85419201e-01
9.85000000e+01	2.94662309e-01	2.24482367e-02	4.77513228e-01	2.24493022e-02	7.60101010e-01	5.85118344e-02	5.01722773e-01	4.83141861e-01
9.86000000e+01	2.94389978e-01	2.27246243e-02	4.76851852e-01	2.27256652e-02	7.58838384e-01	5.83770539e-02	5.04850463e-01	4.80872436e-01
9.87000000e+01	2.94117647e-01	2.30039603e-02	4.76190476e-01	2.30049772e-02	7.57575758e-01	5.82492134e-02	5.08000000e-01	4.78611024e-01
9.88000000e+01	2.93845316e-01	2.32862701e-02	4.75529101e-01	2.32872635e-02	7.56313131e-01	5.81283087e-02	5.11171485e-01	4.76357721e-01
9.89000000e+01	2.93572985e-01	2.35715788e-02	4.74867725e-01	2.35725493e-02	7.55050505e-01	5.80143353e-02	5.14365019e-01	4.74112625e-01
9.90000000e+01	2.93300654e-01	2.38599119e-02	4.74206349e-01	2.38608599e-02	7.53787879e-01	5.79072895e-02	5.17580705e-01	4.71875831e-01
9.91000000e+01	2.93028322e-01	2.41512948e-02	4.73544974e-01	2.41522209e-02	7.52525253e-01	5.78071674e-02	5.20818645e-01	4.69647434e-01
9.92000000e+01	2.92755991e-01	2.44457533e-02	4.72883598e-01	2.44466580e-02	7.51262626e-01	5.77139655e-02	5.24078941e-01	4.67427530e-01
9.93000000e+01	2.92483660e-01	2.47433132e-02	4.72222222e-01	2.47441969e-02	7.50000000e-01	5.76276806e-02	5.27361695e-01	4.65216213e-01
9.94000000e+01	2.92211329e-01	2.50440003e-02	4.71560847e-01	2.50448635e-02	7.48737374e-01	5.75483096e-02	5.30667012e-01	4.63013575e-01
9.95000000e+01	2.91938998e-01	2.53478408e-02	4.70899471e-01	2.53486839e-02	7.47474747e-01	5.74758498e-02	5.33994993e-01	4.60819712e-01
9.96000000e+01	2.91666667e-01	2.56548608e-02	4.70238095e-01	2.56556843e-02	7.46212121e-01	5.74102986e-02	5.37345743e-01	4.58634714e-01
9.97000000e+01	2.91394336e-01	2.59650865e-02	4.69576720e-01	2.59658909e-02	7.44949495e-01	5.73516538e-02	5.40719365e-01	4.56458674e-01
9.98000000e+01	2.91122004e-01	2.62785446e-02	4.68915344e-01	2.62793302e-02	7.43686869e-01	5.72999131e-02	5.44115963e-01	4.54291683e-01
9.99000000e+01	2.90849673e-01	2.65952614e-02	4.68253968e-01	2.65960287e-02	7.42424242e-01	5.72550749e-02	5.47535640e-01	4.52133831e-01
1.00000000e+02	2.90577342e-01	2.69152637e-02	4.67592593e-01	2.69160132e-02	7.41161616e-01	5.72171376e-02	5.50978501e-01	4.49985210e-01
1.00100000e+02	2.90305011e-01	2.72385784e-02	4.66931217e-01	2.72393103e-02	7.39898990e-01	5.71860998e-02	5.54444652e-01	4.47845908e-01
1.00200000e+02	2.90032680e-01	2.75652323e-02	4.66269841e-01	2.75659471e-02	7.38636364e-01	5.71619604e-02	5.57934195e-01	4.45716014e-01
1.00300000e+02	2.89760349e-01	2.78952525e-02	4.65608466e-01	2.78959506e-02	7.37373737e-01	5.71447186e-02	5.61447237e-01	4.43595617e-01
1.00400000e+02	2.89488017e-01	2.82286662e-02	4.64947090e-01	2.82293480e-02	7.36111111e-01	5.71343737e-02	5.64983883e-01	4.41484805e-01
1.00500000e+02	2.89215686e-01	2.85655008e-02	4.64285714e-01	2.85661666e-02	7.34848485e-01	5.71309255e-02	5.68544239e-01	4.39383664e-01
1.00600000e+02	2.88943355e-01	2.89057836e-02	4.63624339e-01	2.89064338e-02	7.33585859e-01	5.71343737e-02	5.72128409e-01	4.37292281e-01
1.00700000e+02	2.88671024e-01	2.92495422e-02	4.62962963e-01	2.92501771e-02	7.32323232e-01	5.71447186e-02	5.75736500e-01	4.35210742e-01
1.00800000e+02	2.88398693e-01	2.95968042e-02	4.62301587e-01	2.95974243e-02	7.31060606e-01	5.71619604e-02	5.79368618e-01	4.33139133e-01
1.00900000e+02	2.88126362e-01	2.99475976e-02	4.61640212e-01	2.99482031e-02	7.29797980e-01	5.71860998e-02	5.83024870e-01	4.31077538e-01
1.01000000e+02	2.87854031e-01	3.03019501e-02	4.60978836e-01	3.03025413e-02	7.28535354e-01	5.72171376e-02	5.86705362e-01	4.29026041e-01
1.01100000e+02	2.87581699e-01	3.06598898e-02	4.60317460e-01	3.06604672e-02	7.27272727e-01	5.72550749e-02	5.90410202e-01	4.26984726e-01
1.01200000e+02	2.87309368e-01	3.10214449e-02	4.59656085e-01	3.10220086e-02	7.26010101e-01	5.72999131e-02	5.94139495e-01	4.24953676e-01
1.01300000e+02	2.87037037e-01	3.13866436e-02	4.58994709e-01	3.13871941e-02	7.24747475e-01	5.73516538e-02	5.97893351e-01	4.22932972e-01
1.01400000e+02	2.86764706e-01	3.17555143e-02	4.58333333e-01	3.17560518e-02	7.23484848e-01	5.74102986e-02	6.01671875e-01	4.20922698e-01
1.01500000e+02	2.86492375e-01	3.21280856e-02	4.57671958e-01	3.21286104e-02	7.22222222e-01	5.74758498e-02	6.05475177e-01	4.18922933e-01
1.01600000e+02	2.86220044e-01	3.25043859e-02	4.57010582e-01	3.25048983e-02	7.20959596e-01	5.75483096e-02	6.09303363e-01	4.16933759e-01
1.01700000e+02	2.85947712e-01	3.28844441e-02	4.56349206e-01	3.28849444e-02	7.19696970e-01	5.76276806e-02	6.13156544e-01	4.14955255e-01
1.01800000e+02	2.85675381e-01	3.32682890e-02	4.55687831e-01	3.32687775e-02	7.18434343e-01	5.77139655e-02	6.17034826e-01	4.12987501e-01
1.01900000e+02	2.85403050e-01	3.36559495e-02	4.55026455e-01	3.36564264e-02	7.17171717e-01	5.78071674e-02	6.20938319e-01	4.11030574e-01
1.02000000e+02	2.85130719e-01	3.40474547e-02	4.54365079e-01	3.40479203e-02	7.15909091e-01	5.79072895e-02	6.24867132e-01	4.09084554e-01
1.02100000e+02	2.84858388e-01	3.44428338e-02	4.53703704e-01	3.44432883e-02	7.14646465e-01	5.80143353e-02	6.28821374e-01	4.07149518e-01
1.02200000e+02	2.84586057e-01	3.48421160e-02	4.53042328e-01	3.48425597e-02	7.13383838e-01	5.81283087e-02	6.32801155e-01	4.05225542e-01
1.02300000e+02	2.84313725e-01	3.52453307e-02	4.52380952e-01	3.52457638e-02	7.12121212e-01	5.82492134e-02	6.36806584e-01	4.03312703e-01
1.02400000e+02	2.84041394e-01	3.56525073e-02	4.51719577e-01	3.56529302e-02	7.10858586e-01	5.83770539e-02	6.40837772e-01	4.01411077e-01
1.02500000e+02	2.83769063e-01	3.60636756e-02	4.51058201e-01	3.60640884e-02	7.09595960e-01	5.85118344e-02	6.44894828e-01	3.99520737e-01
1.02600000e+02	2.83496732e-01	3.64788652e-02	4.50396825e-01	3.64792682e-02	7.08333333e-01	5.86535598e-02	6.48977862e-01	3.97641760e-01
1.02700000e+02	2.83224401e-01	3.68981058e-02	4.49735450e-01	3.68984992e-02	7.07070707e-01	5.88022349e-02	6.53086987e-01	3.95774217e-01
1.02800000e+02	2.82952070e-01	3.73214275e-02	4.49074074e-01	3.73218115e-02	7.05808081e-01	5.89578649e-02	6.57222312e-01	3.93918184e-01
1.02900000e+02	2.82679739e-01	3.77488601e-02	4.48412698e-01	3.77492349e-02	7.04545455e-01	5.91204551e-02	6.61383948e-01	3.92073732e-01
1.03000000e+02	2.82407407e-01	3.81804338e-02	4.47751323e-01	3.81807997e-02	7.03282828e-01	5.92900113e-02	6.65572008e-01	3.90240933e-01
1.03100000e+02	2.82135076e-01	3.86161788e-02	4.47089947e-01	3.86165359e-02	7.02020202e-01	5.94665392e-02	6.69786602e-01	3.88419858e-01
1.03200000e+02	2.81862745e-01	3.90561254e-02	4.46428571e-01	3.90564739e-02	7.00757576e-01	5.96500449e-02	6.74027842e-01	3.86610578e-01
1.03300000e+02	2.81590414e-01	3.95003039e-02	4.45767196e-01	3.95006441e-02	6.99494949e-01	5.98405348e-02	6.78295841e-01	3.84813164e-01
1.03400000e+02	2.81318083e-01	3.99487449e-02	4.45105820e-01	3.99490769e-02	6.98232323e-01	6.00380154e-02	6.82590711e-01	3.83027685e-01
1.03500000e+02	2.81045752e-01	4.04014789e-02	4.44444444e-01	4.04018030e-02	6.96969697e-01	6.02424934e-02	6.86912564e-01	3.81254209e-01
1.03600000e+02	2.80773420e-01	4.08585366e-02	4.43783069e-01	4.08588529e-02	6.95707071e-01	6.04539758e-02	6.91261514e-01	3.79492804e-01
1.03700000e+02	2.80501089e-01	4.13199487e-02	4.43121693e-01	4.13202574e-02	6.94444444e-01	6.06724700e-02	6.95637672e-01	3.77743540e-01
1.03800000e+02	2.80228758e-01	4.17857461e-02	4.42460317e-01	4.17860474e-02	6.93181818e-01	6.08979832e-02	7.00041153e-01	3.76006481e-01
1.03900000e+02	2.79956427e-01	4.22559597e-02	4.41798942e-01	4.22562538e-02	6.91919192e-01	6.11305231e-02	7.04472070e-01	3.74281696e-01
1.04000000e+02	2.79684096e-01	4.27306206e-02	4.41137566e-01	4.27309075e-02	6.90656566e-01	6.13700977e-02	7.08930537e-01	3.72569250e-01
1.04100000e+02	2.79411765e-01	4.32097598e-02	4.40476190e-01	4.32100398e-02	6.89393939e-01	6.16167151e-02	7.13416667e-01	3.70869207e-01
1.04200000e+02	2.79139434e-01	4.36934084e-02	4.39814815e-01	4.36936817e-02	6.88131313e-01	6.18703835e-02	7.17930575e-01	3.69181633e-01
1.04300000e+02	2.78867102e-01	4.41815979e-02	4.39153439e-01	4.41818646e-02	6.86868687e-01	6.21311115e-02	7.22472375e-01	3.67506591e-01
1.04400000e+02	2.78594771e-01	4.46743595e-02	4.38492063e-01	4.46746197e-02	6.85606061e-01	6.23989078e-02	7.27042182e-01	3.65844145e-01
1.04500000e+02	2.78322440e-01	4.51717246e-02	4.37830688e-01	4.51719785e-02	6.84343434e-01	6.26737815e-02	7.31640111e-01	3.64194358e-01
1.04600000e+02	2.78050109e-01	4.56737247e-02	4.37169312e-01	4.56739725e-02	6.83080808e-01	6.29557416e-02	7.36266277e-01	3.62557291e-01
1.04700000e+02	2.77777778e-01	4.61803914e-02	4.36507937e-01	4.61806332e-02	6.81818182e-01	6.32447976e-02	7.40920795e-01	3.60933007e-01
1.04800000e+02	2.77505447e-01	4.66917563e-02	4.35846561e-01	4.66919922e-02	6.80555556e-01	6.35409591e-02	7.45603781e-01	3.59321565e-01
1.04900000e+02	2.77233115e-01	4.72078512e-02	4.35185185e-01	4.72080814e-02	6.79292929e-01	6.38442358e-02	7.50315350e-01	3.57723027e-01
1.05000000e+02	2.76960784e-01	4.77287078e-02	4.34523810e-01	4.77289324e-02	6.78030303e-01	6.41546378e-02	7.55055620e-01	3.56137453e-01
1.05100000e+02	2.76688453e-01	4.82543579e-02	4.33862434e-01	4.82545771e-02	6.76767677e-01	6.44721753e-02	7.59824706e-01	3.54564900e-01
1.05200000e+02	2.76416122e-01	4.87848335e-02	4.33201058e-01	4.87850474e-02	6.75505051e-01	6.47968587e-02	7.64622724e-01	3.53005429e-01
1.05300000e+02	2.76143791e-01	4.93201666e-02	4.32539683e-01	4.93203752e-02	6.74242424e-01	6.51286986e-02	7.69449792e-01	3.51459096e-01
1.05400000e+02	2.75871460e-01	4.98603892e-02	4.31878307e-01	4.98605927e-02	6.72979798e-01	6.54677058e-02	7.74306026e-01	3.49925959e-01
1.05500000e+02	2.75599129e-01	5.04055334e-02	4.31216931e-01	5.04057319e-02	6.71717172e-01	6.58138913e-02	7.79191544e-01	3.48406075e-01
1.05600000e+02	2.75326797e-01	5.09556313e-02	4.30555556e-01	5.09558250e-02	6.70454545e-01	6.61672663e-02	7.84106463e-01	3.46899499e-01
1.05700000e+02	2.75054466e-01	5.15107151e-02	4.29894180e-01	5.15109041e-02	6.69191919e-01	6.65278422e-02	7.89050901e-01	3.45406288e-01
1.05800000e+02	2.74782135e-01	5.20708172e-02	4.29232804e-01	5.20710016e-02	6.67929293e-01	6.68956306e-02	7.94024976e-01	3.43926495e-01
1.05900000e+02	2.74509804e-01	5.26359698e-02	4.28571429e-01	5.26361497e-02	6.66666667e-01	6.72706432e-02	7.99028807e-01	3.42460176e-01
1.06000000e+02	2.74237473e-01	5.32062054e-02	4.27910053e-01	5.32063809e-02	6.65404040e-01	6.76528921e-02	8.04062510e-01	3.41007384e-01
1.06100000e+02	2.73965142e-01	5.37815562e-02	4.27248677e-01	5.37817274e-02	6.64141414e-01	6.80423892e-02	8.09126206e-01	3.39568172e-01
1.06200000e+02	2.73692810e-01	5.43620549e-02	4.26587302e-01	5.43622219e-02	6.62878788e-01	6.84391470e-02	8.14220013e-01	3.38142593e-01
1.06300000e+02	2.73420479e-01	5.49477338e-02	4.25925926e-01	5.49478967e-02	6.61616162e-01	6.88431780e-02	8.19344050e-01	3.36730698e-01
1.06400000e+02	2.73148148e-01	5.55386256e-02	4.25264550e-01	5.55387845e-02	6.60353535e-01	6.92544948e-02	8.24498437e-01	3.35332538e-01
1.06500000e+02	2.72875817e-01	5.61347628e-02	4.24603175e-01	5.61349178e-02	6.59090909e-01	6.96731102e-02	8.29683293e-01	3.33948165e-01
1.06600000e+02	2.72603486e-01	5.67361781e-02	4.23941799e-01	5.67363293e-02	6.57828283e-01	7.00990373e-02	8.34898738e-01	3.32577629e-01
1.06700000e+02	2.72331155e-01	5.73429041e-02	4.23280423e-01	5.73430515e-02	6.56565657e-01	7.05322893e-02	8.40144892e-01	3.31220978e-01
1.06800000e+02	2.72058824e-01	5.79549735e-02	4.22619048e-01	5.79551173e-02	6.55303030e-01	7.09728795e-02	8.45421875e-01	3.29878263e-01
1.06900000e+02	2.71786492e-01	5.85724190e-02	4.21957672e-01	5.85725593e-02	6.54040404e-01	7.14208215e-02	8.50729808e-01	3.28549530e-01
1.07000000e+02	2.71514161e-01	5.91952735e-02	4.21296296e-01	5.91954103e-02	6.52777778e-01	7.18761289e-02	8.56068812e-01	3.27234829e-01
1.07100000e+02	2.71241830e-01	5.98235696e-02	4.20634921e-01	5.98237030e-02	6.51515152e-01	7.23388156e-02	8.61439008e-01	3.25934206e-01
1.07200000e+02	2.70969499e-01	6.04573402e-02	4.19973545e-01	6.04574703e-02	6.50252525e-01	7.28088955e-02	8.66840517e-01	3.24647707e-01
1.07300000e+02	2.70697168e-01	6.10966180e-02	4.19312169e-01	6.10967450e-02	6.48989899e-01	7.32863829e-02	8.72273460e-01	3.23375378e-01
1.07400000e+02	2.70424837e-01	6.17414361e-02	4.18650794e-01	6.17415599e-02	6.47727273e-01	7.37712921e-02	8.77737960e-01	3.22117266e-01
1.07500000e+02	2.70152505e-01	6.23918271e-02	4.17989418e-01	6.23919478e-02	6.46464646e-01	7.42636374e-02	8.83234138e-01	3.20873414e-01
1.07600000e+02	2.69880174e-01	6.30478241e-02	4.17328042e-01	6.30479418e-02	6.45202020e-01	7.47634335e-02	8.88762116e-01	3.19643867e-01
1.07700000e+02	2.69607843e-01	6.37094598e-02	4.16666667e-01	6.37095746e-02	6.43939394e-01	7.52706951e-02	8.94322016e-01	3.18428669e-01
1.07800000e+02	2.69335512e-01	6.43767672e-02	4.16005291e-01	6.43768791e-02	6.42676768e-01	7.57854372e-02	8.99913963e-01	3.17227862e-01
1.07900000e+02	2.69063181e-01	6.50497791e-02	4.15343915e-01	6.50498883e-02	6.41414141e-01	7.63076747e-02	9.05538077e-01	3.16041489e-01
1.08000000e+02	2.68790850e-01	6.57285286e-02	4.14682540e-01	6.57286351e-02	6.40151515e-01	7.68374228e-02	9.11194483e-01	3.14869592e-01
1.08100000e+02	2.68518519e-01	6.64130485e-02	4.14021164e-01	6.64131523e-02	6.38888889e-01	7.73746969e-02	9.16883304e-01	3.13712212e-01
1.08200000e+02	2.68246187e-01	6.71033717e-02	4.13359788e-01	6.71034729e-02	6.37626263e-01	7.79195122e-02	9.22604664e-01	3.12569389e-01
1.08300000e+02	2.67973856e-01	6.77995311e-02	4.12698413e-01	6.77996298e-02	6.36363636e-01	7.84718844e-02	9.28358685e-01	3.11441165e-01
1.08400000e+02	2.67701525e-01	6.85015596e-02	4.12037037e-01	6.85016559e-02	6.35101010e-01	7.90318292e-02	9.34145493e-01	3.10327578e-01
1.08500000e+02	2.67429194e-01	6.92094902e-02	4.11375661e-01	6.92095840e-02	6.33838384e-01	7.95993623e-02	9.39965212e-01	3.09228668e-01
1.08600000e+02	2.67156863e-01	6.99233557e-02	4.10714286e-01	6.99234472e-02	6.32575758e-01	8.01744997e-02	9.45817966e-01	3.08144472e-01
1.08700000e+02	2.66884532e-01	7.06431889e-02	4.10052910e-01	7.06432781e-02	6.31313131e-01	8.07572573e-02	9.51703879e-01	3.07075029e-01
1.08800000e+02	2.66612200e-01	7.13690228e-02	4.09391534e-01	7.13691098e-02	6.30050505e-01	8.13476513e-02	9.57623078e-01	3.06020376e-01
1.08900000e+02	2.66339869e-01	7.21008901e-02	4.08730159e-01	7.21009749e-02	6.28787879e-01	8.19456980e-02	9.63575687e-01	3.04980549e-01
1.09000000e+02	2.66067538e-01	7.28388237e-02	4.08068783e-01	7.28389064e-02	6.27525253e-01	8.25514136e-02	9.69561832e-01	3.03955586e-01
1.09100000e+02	2.65795207e-01	7.35828564e-02	4.07407407e-01	7.35829370e-02	6.26262626e-01	8.31648147e-02	9.75581638e-01	3.02945520e-01
1.09200000e+02	2.65522876e-01	7.43330209e-02	4.06746032e-01	7.43330994e-02	6.25000000e-01	8.37859178e-02	9.81635232e-01	3.01950387e-01
1.09300000e+02	2.65250545e-01	7.50893498e-02	4.06084656e-01	7.50894265e-02	6.23737374e-01	8.44147395e-02	9.87722739e-01	3.00970223e-01
1.09400000e+02	2.64978214e-01	7.58518761e-02	4.05423280e-01	7.58519508e-02	6.22474747e-01	8.50512966e-02	9.93844286e-01	3.00005059e-01
1.09500000e+02	2.64705882e-01	7.66206322e-02	4.04761905e-01	7.66207050e-02	6.21212121e-01	8.56956059e-02	1.00000000e+00	2.99054930e-01
1.09600000e+02	2.64433551e-01	7.73956508e-02	4.04100529e-01	7.73957218e-02	6.19949495e-01	8.63476842e-02	9.97685185e-01	2.98119869e-01
1.09700000e+02	2.64161220e-01	7.81769645e-02	4.03439153e-01	7.81770336e-02	6.18686869e-01	8.70075486e-02	9.95370370e-01	2.97199907e-01
1.09800000e+02	2.63888889e-01	7.89646057e-02	4.02777778e-01	7.89646732e-02	6.17424242e-01	8.76752162e-02	9.93055556e-01	2.96295076e-01
1.09900000e+02	2.63616558e-01	7.97586071e-02	4.02116402e-01	7.97586728e-02	6.16161616e-01	8.83507040e-02	9.90740741e-01	2.95405408e-01
1.10000000e+02	2.63344227e-01	8.05590009e-02	4.01455026e-01	8.05590650e-02	6.14898990e-01	8.90340293e-02	9.88425926e-01	2.94530932e-01
1.10100000e+02	2.63071895e-01	8.13658197e-02	4.00793651e-01	8.13658821e-02	6.13636364e-01	8.97252094e-02	9.86111111e-01	2.93671678e-01
1.10200000e+02	2.62799564e-01	8.21790956e-02	4.00132275e-01	8.21791565e-02	6.12373737e-01	9.04242616e-02	9.83796296e-01	2.92827676e-01
1.10300000e+02	2.62527233e-01	8.29988609e-02	3.99470899e-01	8.29989203e-02	6.11111111e-01	9.11312033e-02	9.81481481e-01	2.91998955e-01
1.10400000e+02	2.62254902e-01	8.38251479e-02	3.98809524e-01	8.38252057e-02	6.09848485e-01	9.18460520e-02	9.79166667e-01	2.91185543e-01
1.10500000e+02	2.61982571e-01	8.46579886e-02	3.98148148e-01	8.46580450e-02	6.08585859e-01	9.25688251e-02	9.76851852e-01	2.90387467e-01
1.10600000e+02	2.61710240e-01	8.54974151e-02	3.97486772e-01	8.54974701e-02	6.07323232e-01	9.32995402e-02	9.74537037e-01	2.89604755e-01
1.10700000e+02	2.61437908e-01	8.63434594e-02	3.96825397e-01	8.63435130e-02	6.06060606e-01	9.40382150e-02	9.72222222e-01	2.88837433e-01
1.10800000e+02	2.61165577e-01	8.71961534e-02	3.96164021e-01	8.71962056e-02	6.04797980e-01	9.47848671e-02	9.69907407e-01	2.88085527e-01
1.10900000e+02	2.60893246e-01	8.80555288e-02	3.95502646e-01	8.80555797e-02	6.03535354e-01	9.55395141e-02	9.67592593e-01	2.87349062e-01
1.11000000e+02	2.60620915e-01	8.89216175e-02	3.94841270e-01	8.89216670e-02	6.02272727e-01	9.63021738e-02	9.65277778e-01	2.86628065e-01
1.11100000e+02	2.60348584e-01	8.97944510e-02	3.94179894e-01	8.97944993e-02	6.01010101e-01	9.70728639e-02	9.62962963e-01	2.85922558e-01
1.11200000e+02	2.60076253e-01	9.06740609e-02	3.93518519e-01	9.06741080e-02	5.99747475e-01	9.78516021e-02	9.60648148e-01	2.85232565e-01
1.11300000e+02	2.59803922e-01	9.15604787e-02	3.92857143e-01	9.15605246e-02	5.98484848e-01	9.86384064e-02	9.58333333e-01	2.84558111e-01
1.11400000e+02	2.59531590e-01	9.24537358e-02	3.92195767e-01	9.24537805e-02	5.97222222e-01	9.94332944e-02	9.56018519e-01	2.83899217e-01
1.11500000e+02	2.59259259e-01	9.33538633e-02	3.91534392e-01	9.33539069e-02	5.95959596e-01	1.00236284e-01	9.53703704e-01	2.83255906e-01
1.11600000e+02	2.58986928e-01	9.42608925e-02	3.90873016e-01	9.42609350e-02	5.94696970e-01	1.01047393e-01	9.51388889e-01	2.82628200e-01
1.11700000e+02	2.58714597e-01	9.51748544e-02	3.90211640e-01	9.51748958e-02	5.93434343e-01	1.01866640e-01	9.49074074e-01	2.82016119e-01
1.11800000e+02	2.58442266e-01	9.60957800e-02	3.89550265e-01	9.60958203e-02	5.92171717e-01	1.02694041e-01	9.46759259e-01	2.81419684e-01
1.11900000e+02	2.58169935e-01	9.70237000e-02	3.88888889e-01	9.70237393e-02	5.90909091e-01	1.03529616e-01	9.44444444e-01	2.80838915e-01
1.12000000e+02	2.57897603e-01	9.79586453e-02	3.88227513e-01	9.79586835e-02	5.89646465e-01	1.04373381e-01	9.42129630e-01	2.80273832e-01
1.12100000e+02	2.57625272e-01	9.89006462e-02	3.87566138e-01	9.89006835e-02	5.88383838e-01	1.05225355e-01	9.39814815e-01	2.79724452e-01
1.12200000e+02	2.57352941e-01	9.98497334e-02	3.86904762e-01	9.98497697e-02	5.87121212e-01	1.06085555e-01	9.37500000e-01	2.79190796e-01
1.12300000e+02	2.57080610e-01	1.00805937e-01	3.86243386e-01	1.00805973e-01	5.85858586e-01	1.06954000e-01	9.35185185e-01	2.78672880e-01
1.12400000e+02	2.56808279e-01	1.01769288e-01	3.85582011e-01	1.01769322e-01	5.84595960e-01	1.07830707e-01	9.32870370e-01	2.78170722e-01
1.12500000e+02	2.56535948e-01	1.02739815e-01	3.84920635e-01	1.02739848e-01	5.83333333e-01	1.08715693e-01	9.30555556e-01	2.77684338e-01
1.12600000e+02	2.56263617e-01	1.03717549e-01	3.84259259e-01	1.03717582e-01	5.82070707e-01	1.09608977e-01	9.28240741e-01	2.77213745e-01
1.12700000e+02	2.55991285e-01	1.04702519e-01	3.83597884e-01	1.04702551e-01	5.80808081e-01	1.10510576e-01	9.25925926e-01	2.76758959e-01
1.12800000e+02	2.55718954e-01	1.05694756e-01	3.82936508e-01	1.05694787e-01	5.79545455e-01	1.11420507e-01	9.23611111e-01	2.76319994e-01
1.12900000e+02	2.55446623e-01	1.06694288e-01	3.82275132e-01	1.06694318e-01	5.78282828e-01	1.12338789e-01	9.21296296e-01	2.75896865e-01
1.13000000e+02	2.55174292e-01	1.07701145e-01	3.81613757e-01	1.07701175e-01	5.77020202e-01	1.13265439e-01	9.18981481e-01	2.75489586e-01
1.13100000e+02	2.54901961e-01	1.08715356e-01	3.80952381e-01	1.08715385e-01	5.75757576e-01	1.14200475e-01	9.16666667e-01	2.75098171e-01
1.13200000e+02	2.54629630e-01	1.09736951e-01	3.80291005e-01	1.09736979e-01	5.74494949e-01	1.15143913e-01	9.14351852e-01	2.74722633e-01
1.13300000e+02	2.54357298e-01	1.10765957e-01	3.79629630e-01	1.10765984e-01	5.73232323e-01	1.16095771e-01	9.12037037e-01	2.74362984e-01
1.13400000e+02	2.54084967e-01	1.11802403e-01	3.78968254e-01	1.11802430e-01	5.71969697e-01	1.17056067e-01	9.09722222e-01	2.74019236e-01
1.13500000e+02	2.53812636e-01	1.12846319e-01	3.78306878e-01	1.12846345e-01	5.70707071e-01	1.18024817e-01	9.07407407e-01	2.73691400e-01
1.13600000e+02	2.53540305e-01	1.13897732e-01	3.77645503e-01	1.13897757e-01	5.69444444e-01	1.19002039e-01	9.05092593e-01	2.73379487e-01
1.13700000e+02	2.53267974e-01	1.14956670e-01	3.76984127e-01	1.14956695e-01	5.68181818e-01	1.19987750e-01	9.02777778e-01	2.73083508e-01
1.13800000e+02	2.52995643e-01	1.16023162e-01	3.76322751e-01	1.16023186e-01	5.66919192e-01	1.20981967e-01	9.00462963e-01	2.72803473e-01
1.13900000e+02	2.52723312e-01	1.17097235e-01	3.75661376e-01	1.17097259e-01	5.65656566e-01	1.21984707e-01	8.98148148e-01	2.72539390e-01
1.14000000e+02	2.52450980e-01	1.18178917e-01	3.75000000e-01	1.18178940e-01	5.64393939e-01	1.22995987e-01	8.95833333e-01	2.72291268e-01
1.14100000e+02	2.52178649e-01	1.19268235e-01	3.74338624e-01	1.19268257e-01	5.63131313e-01	1.24015822e-01	8.93518519e-01	2.72059116e-01
